step,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,type_CASH_OUT,type_DEBIT,type_PAYMENT,type_TRANSFER,Actual_Fraud,Predicted_Fraud
5,3046.6,11626.0,8579.4,0.0,0.0,False,False,True,False,0,0
41,2885466.96,2885466.96,0.0,28131.01,3268477.05,True,False,False,False,1,1
7,429539.78,471.23,0.0,10400000.0,14900000.0,True,False,False,False,0,0
7,86050.93,0.0,0.0,89834.0,175884.93,True,False,False,False,0,0
7,7596.59,69632.0,62035.41,0.0,0.0,False,False,True,False,0,0
36,326884.31,326884.31,0.0,0.0,0.0,False,False,False,True,1,1
7,9345.74,27316.0,17970.26,0.0,0.0,False,False,True,False,0,0
7,239049.7,0.0,0.0,398716.26,637765.96,True,False,False,False,0,0
2,10324.3,5809.12,0.0,0.0,0.0,False,False,True,False,0,0
6,26775.37,6600948.54,6627723.92,30356.0,2405.31,False,False,False,False,0,0
86,21829.31,21829.31,0.0,357009.54,378838.85,True,False,False,False,1,1
4,170634.8,0.0,0.0,6978330.25,7434797.81,True,False,False,False,0,0
4,2906.96,125221.0,122314.04,0.0,0.0,False,False,True,False,0,0
2,7201.74,104385.0,97183.26,0.0,0.0,False,False,True,False,0,0
7,10704.2,9859.0,0.0,0.0,0.0,False,False,True,False,0,0
5,16184.43,189143.27,172958.83,0.0,0.0,False,False,True,False,0,0
22,74804.24,74804.24,0.0,0.0,74804.24,True,False,False,False,1,1
7,10264.83,0.0,0.0,0.0,0.0,False,False,True,False,0,0
7,17951.43,10298.0,0.0,0.0,0.0,False,False,True,False,0,0
2,11357.4,60989.84,49632.45,0.0,0.0,False,False,True,False,0,0
5,15150.82,0.0,0.0,0.0,0.0,False,False,True,False,0,0
7,4741.37,21651.0,16909.63,0.0,0.0,False,False,True,False,0,0
5,5172.58,20368.0,15195.42,0.0,0.0,False,False,True,False,0,0
1,154578.28,2091229.45,2245807.73,1033003.86,1254956.07,False,False,False,False,0,0
7,129635.19,0.0,0.0,166267.21,169554.94,True,False,False,False,0,0
7,808.34,20926.0,20117.66,0.0,0.0,False,False,True,False,0,0
6,32925.72,22043.0,0.0,38277.84,108597.29,False,False,False,True,0,0
7,15698.38,0.0,0.0,0.0,0.0,False,False,True,False,0,0
7,462312.19,27626.25,0.0,17000000.0,18100000.0,True,False,False,False,0,0
1,632840.5,8657916.04,9290756.54,6498873.04,5515763.34,False,False,False,False,0,0
1,10430.39,73364.91,62934.52,0.0,0.0,False,False,True,False,0,0
7,2682.82,338628.0,335945.18,0.0,0.0,False,False,True,False,0,0
7,7590.75,20780.0,13189.25,0.0,0.0,False,False,True,False,0,0
5,1967.35,10492.0,8524.65,0.0,0.0,False,False,True,False,0,0
2,1225.92,205205.0,203979.08,36938.0,36054.62,False,True,False,False,0,0
5,8392.42,0.0,0.0,0.0,0.0,False,False,True,False,0,0
27,329937.88,329937.88,0.0,0.0,0.0,False,False,False,True,1,1
2,733.57,181.0,0.0,0.0,0.0,False,False,True,False,0,0
7,130597.52,100637.0,231234.52,0.0,0.0,False,False,False,False,0,0
3,166630.82,2816463.03,2983093.85,8740534.53,7928126.25,False,False,False,False,0,0
7,1149.98,4632.0,3482.02,0.0,0.0,False,False,True,False,0,0
1,1130.44,155055.0,153924.56,0.0,0.0,False,False,True,False,0,0
18,9131.0,9131.0,0.0,0.0,0.0,False,False,False,True,1,1
7,97150.04,7027458.81,7124608.85,259151.97,162001.93,False,False,False,False,0,0
7,7951.32,5532.0,0.0,0.0,0.0,False,False,True,False,0,0
7,1698.43,206791.0,205092.57,0.0,0.0,False,False,True,False,0,0
1,2998.04,12030.0,9031.96,0.0,0.0,False,False,True,False,0,0
3,99657.13,4597727.16,4697384.29,11300000.0,11200000.0,False,False,False,False,0,0
3,267812.03,5884578.8,6152390.83,2016248.17,1748436.14,False,False,False,False,0,0
6,7390.28,98.0,0.0,0.0,0.0,False,False,True,False,0,0
1,13890.24,497415.98,483525.74,0.0,0.0,False,False,True,False,0,0
4,178055.95,9181.0,0.0,1309620.48,1423811.37,False,False,False,True,0,0
1,378703.81,31813.0,0.0,6353.62,22774.25,False,False,False,True,0,0
30,19016.22,19016.22,0.0,0.0,0.0,False,False,False,True,1,1
1,2515.46,270.0,0.0,0.0,0.0,False,False,True,False,0,0
7,6292.71,14719.0,8426.29,0.0,0.0,False,False,True,False,0,0
7,300.74,566.0,265.26,0.0,0.0,False,False,True,False,0,0
3,19818.51,154991.0,135172.49,0.0,0.0,False,False,True,False,0,0
1,277807.48,6810067.99,7087875.47,907460.33,55974.56,False,False,False,False,0,0
7,17313.59,8627.0,0.0,0.0,0.0,False,False,True,False,0,0
7,183406.12,2720.21,0.0,1098205.25,1626304.94,True,False,False,False,0,0
7,35884.67,2335651.45,2371536.12,71413.38,35528.72,False,False,False,False,0,0
6,17826.95,10506.0,0.0,0.0,0.0,False,False,True,False,0,0
6,33275.35,94853.92,61578.57,86070.17,119345.51,True,False,False,False,0,0
7,11815.37,0.0,0.0,0.0,0.0,False,False,True,False,0,0
13,1161495.82,1161495.82,0.0,319036.02,1565123.81,True,False,False,False,1,1
5,268571.64,7077.27,0.0,435950.07,646196.83,False,False,False,True,0,0
84,296349.8,296349.8,0.0,0.0,0.0,False,False,False,True,1,1
5,472.71,2082.0,1609.29,0.0,0.0,False,False,True,False,0,0
71,304085.48,304085.48,0.0,0.0,0.0,False,False,False,True,1,1
1,99295.78,4450062.03,4549357.8,3560961.83,3461666.05,False,False,False,False,0,0
1,258938.11,3384041.09,3642979.2,955476.46,897150.84,False,False,False,False,0,0
1,230021.01,1861208.43,2091229.45,4777230.82,22190.99,False,False,False,False,0,0
1,3154.47,13720.25,10565.78,0.0,0.0,False,False,True,False,0,0
6,292220.17,0.0,0.0,2567502.31,5352935.74,True,False,False,False,0,0
